Title,Address,State,Zipcode,PhoneNumber,Description
Memorial Surgery Center of Ocean Springs,"3882 Bienville Blvd., Ocean Springs, MS 39564",MS,39564,(228) 867-5000,"Testing individuals exhibiting symptoms such as cough, shortness of breath, and fever. Location Phone #:228 872-6290 Monday – Friday 8 a.m. – 5 p.m. and Sat & Sun 9 a.m. – 3 p.m. The HOTLINE will be managed by clinical staff who are dedicated to answering COVID-19 health related questions and is available 7 days a week, 8:00am – 8:00pm. A recorded message with relevant, commonly asked questions, will be available after hours. Please encourage individuals to call this phone number to receive guidance before they visit one of our clinics. We want to prepare to reduce the spread of illness or provide additional instructions if they are experiencing symptoms related to COVID-19. For patients experiencing minor flu-like symptoms without respiratory distress or shortness of breath, we strongly encourage you to call your provider’s office before visiting the clinic so staff can prepare or provide guidance and next steps which may include self-monitoring at home. If you are in need of a provider, click here http://www.gulfportmemorial.com/find-a-location?taxonomy=walk-in-clinic"
Neshoba General,"1001 Holland Ave, Philadelphia, MS 39350",MS,39350,(601) 663-1213,Require that you have symptoms of COVID-19 in order to be tested: a fever of 100.4 or greater and severe cough or chest pain. You should call ahead before visiting to make testing arrangements.
"North Mississippi Medical Center, South Gloster, Tupelo","830 South Gloster Street, Tupelo, MS 38801",MS,38801,(800) 882-6274,Local medical providers are making COVID-19 testing available through locations statewide. These are not Mississippi State Department of Health testing sites. Local testing providers below have informed us that they are providing fast-track COVID-19 testing locations. Requirements: These providers require that you have symptoms of COVID-19 in order to be tested: a fever of 100.4 or greater and severe cough or chest pain. You should call ahead before visiting to make testing arrangements. Location Phone #:662-377-3000
Panola Medical Center,"303 Medical Center Dr, Batesville, MS 38606",MS,38606,(662) 934-7259,Require that you have symptoms of COVID-19 in order to be tested: a fever of 100.4 or greater and severe cough or chest pain. You should call ahead before visiting to make testing arrangements.
Potts Camp Family Medical Clinic,"3 Reids Ave, Potts Camp, MS 38659",MS,38659,(662) 333-4333,Require that you have symptoms of COVID-19 in order to be tested: a fever of 100.4 or greater and severe cough or chest pain. You should call ahead before visiting to make testing arrangements. They have tents sent up outside for triage and testing if you meet the criteria.
Sam's Choice Healthcare Mobile Testing,"6512 Dogwood View Parkway, Jackson, MS 39213",MS,39213,(601)594-0032,Require that you have symptoms of COVID-19 in order to be tested: a fever of 100.4 or greater and severe cough or chest pain. You should call ahead before visiting to make testing arrangements.
"Singing River Health System Clinics, Hurley","7001 Hwy 614, Hurley, MS 39555",MS,39555,(228) 809-5044,"Coronavirus Testing Requirements: * Flu-like symptoms (fever and/or cough) AND * Have traveled to a potentially contaminated location OR * Been exposed to someone known to be infected If you meet these requirements and are concerned you have COVID-19, please call our hotline at 228-809-5044 or our location. Location Phone #:(228) 588-6622"
"Singing River Health System Clinics, Ocean Springs","3099 Bienville Boulevard, Ocean Springs, MS 39564",MS,39564,(228) 809-5044,"Coronavirus Testing Requirements: * Flu-like symptoms (fever and/or cough) AND * Have traveled to a potentially contaminated location OR * Been exposed to someone known to be infected If you meet these requirements and are concerned you have COVID-19, please call our hotline at 228-809-5044 or call our Location Phone #:(228) 872-2403"
"Singing River Health System Clinics, Pascagoula","2819 Denny Avenue, Pascagoula, MS 39581",MS,39581,(228) 809-5044,"Coronavirus Testing Requirements: * Flu-like symptoms (fever and/or cough) AND * Have traveled to a potentially contaminated location OR * Been exposed to someone known to be infected If you meet these requirements and are concerned you have COVID-19, please call our hotline at 228-809-5044 or our location. Location Phone #:(228) 762-3466"
"Singing River Health System Clinics, Vancleave","11700 Highway 57, Vancleave, MS 39565",MS,39565,(228) 809-5044,"Coronavirus Testing Requirements: * Flu-like symptoms (fever and/or cough) AND * Have traveled to a potentially contaminated location OR * Been exposed to someone known to be infected If you meet these requirements and are concerned you have COVID-19, please call our hotline at 228-809-5044 or our location. Location Phone #:(228) 862-1482"
"Singing River Health System Clinics, Woolmarket","13034 Shriner's Blvd., Suite B, Woolmarket, MS 39532",MS,39532,(228) 809-5044,"Coronavirus Testing Requirements: * Flu-like symptoms (fever and/or cough) AND * Have traveled to a potentially contaminated location OR * Been exposed to someone known to be infected If you meet these requirements and are concerned you have COVID-19, please call our hotline at 228-809-5044 or our location. Location Phone #:(228) 396-5022"
South Central Regional Medical Center (SCRMC) Health System Clinics and South Central Emergency Depa,"1220 Jefferson St, Laurel, MS 39440",MS,39440,(601) 426-4515,Require that you have symptoms of COVID-19 in order to be tested: a fever of 100.4 or greater and severe cough or chest pain. You should call ahead before visiting to make testing arrangements.
South Central Urgent Care,"1430 Jefferson Street, Laurel, MS 39440",MS,39440,(601) 425-2273,"Call the clinic prior to arrival. The CDC guidelines for testing include fever of 100.4 or greater, and cough or shortness of breath. Open Monday – Friday, 8 a.m. – 7:30 p.m., Saturday and Sunday, 8 a.m. – 5:30 p.m."
Trace Urgent Clinic/Premier Medical,"530 Veterans Memorial Drive, Kosciusko, MS 39090",MS,39090,(662) 289-9155,Require that you have symptoms of COVID-19 in order to be tested: a fever of 100.4 or greater and severe cough or chest pain. You should call ahead before visiting to make testing arrangements.
Affina Healthcare,"6763 Page Avenue, Pagedale, MO 63133",MO,63133,(314) 833-2777,It's open Mondays and Tuesdays 8:30 a.m. to 5:30 p.m. People need to call Affinia for a phone screening at (314) 833-2777 before going to the site.
Affina Healthcare - Carr Square Neighborhood,"1717 Biddle, St. Louis, MO 63106",MO,63106,(314) 833-2777,"Affina Healthcare will be using one of its mobile medical units for testing. A tent will be used for drive-thru or walk up testing. Call (314) 833-2777 to set up an appointment, complete a pre-appointment screening and receive instructions related to an appointment."
BJC HealthCare,"4901 Forest Park Avenue, St. Louis, MO 63108",MO,63108,(314) 747-3000,BJC HealthCare has opened its first COVID-19 specimen collection center in the Cortex corridor as health care organizations join in creating more widely available testing resources throughout the region. The center is available to those who are being referred by BJC providers after screening and those who have been pre-screened using U.S. Centers for Disease Control and Prevention (CDC) guidelines. BJC is planning to open additional sites in north St. Louis County and the Metro East in the coming weeks.
Boone Hospital Center - Drive Thru,"1600 E. Broadway, Columbia, MO 65201",MO,65201,(573) 815-8000,"Location guidelines: The drive-thru is located south of the hospital’s Emergency Department entrance on the southwest side. Patients should enter from Anthony Street, according to a Boone Hospital Center news release. Drive-thru testing will be offered at Boone Hospital between 7:00 a.m. and 7:00 p.m. seven days a week. To get tested at Boone Hospital, patients must have a doctor's recommendation."
Bootheel Urgent Care,"310 E Main St, Hayti, MO 63851",MO,63851,(573) 479-3065,Please call before visiting the hospital or testing location to determine testing eligibility.
Cameron Regional Medical Center,"1600 East Evergreen, Cameron, MO 64429",MO,64429,(816) 632-2101,"A “Fever/Respiratory” Tent has been set up by the CRMC Emergency Room and will be open from 8:00 a.m. to 8:00 p.m. seven days per week beginning Thursday, March 19, 2020. Any patient 16 years and older exhibiting fever and/or respiratory issues should present to this tent for screening, rather than to one of CRMC’s satellite clinics. Children younger than 16 may go to a satellite clinic for screening. Questions may be called to 816.649.3260."
Capital Region Physicians - Primary Care Clinic Parking lot,"1014 Madison Street, Jefferson City, MO 65101",MO,65101,(833) 763-0444,"Drive-thru stay in vehicle, must have PCP referral or call hotline for Appoinment when results are in you must contact the refering physician not the hotline (833) 763-0444 for your results."
CareSTL Health,"5741 Martin Luther King Drive, St. Louis, MO 63112",MO,63112,(314) 367-5820,N/A
CareSTL-Homer G Phillips Apartments,"2425 N. Whittier, St. Louis, MO 63113",MO,63113,(314) 367-5820,The site will be open 11:00 a.m. - 4:30 p.m. Monday through Friday. Anyone experiencing COVID-19 symptoms who wants an appointment must call ahead at. 314-367-5820.
Citizens Memorial Hospital,"1125 N. Butterfield Road, Bolivar, MO 65613",MO,65613,(417) 328-6301,"Must call Hotline at (417) 328-4300 or go online and have a virtual exam https://www.citizensmemorial.com/virtualvisits/index.html to obtain an appointment to be tested if criteria are met. The COVID-19 drive-thru site will be open Monday-Saturday, 10 a.m.-2 p.m. and is located at the former Butterfield Pharmacy building located at 1125 N. Butterfield Road, Bolivar. Patients will stay in their vehicles during testing."
Cox Health - Virtual Visits,"N/A, Springfield, MO 0N/A",MO,0N/A,(417) 269-3000,"Free virtual visits - To be evaluated, individuals should simply use code COVID when beginning a Virtual Visit. This service is available to anyone experiencing symptoms of COVID-19, which include a fever, cough and respiratory distress. Patients at risk may also have traveled to areas with widespread disease. If a provider feels a patient should be tested, he or she will make a referral so that may be conducted. The availability of Virtual Visits by anyone, regardless of insurance or ability to pay, aligns with public health goals of keeping the disease from spreading throughout the community. This approach also prevents the spread of illness in medical facilities, and protects the local health care workforce so they can be ready to help those who need assistance. To start a Virtual Visit, click here. Download the CoxHealthNow app for even quicker access to Virtual Visits."
Doniphan Family Clinic,"109 Leroux St, Doniphan, MO 63935",MO,63935,(573) 996-2137,Please call before visiting the hospital or testing location to determine testing eligibility. A tent has been set up in the parking lot of the Doniphan Family Clinic for screening sick patients and testing patients that present with COVID19 symptoms.
Harry S Truman Memorial Veterans Hospital,"800 Hospital Dr, Columbia, MO 65201",MO,65201,(573) 814-6000,Please call before visiting the hospital or testing location to determine testing eligibility.
Hedrick Medical Center/Wright Memorial Hospital,"2799 Washington St, Chillicothe, MO 64601",MO,64601,(660) 646-1480,Please call before visiting the hospital or testing location to determine testing eligibility.
High St. Family Care Clinic (Bates County Memorial Hospital),"706 S High St, Butler, MO 64730",MO,64730,(660) 200-7135,Please call before visiting the hospital or testing location to determine testing eligibility. Patients must have COVID-19 symptoms and then be assessed by a doctor on site in order to be tested.
Lincoln County Health Department,"SSM St. Joseph Hospital-Lake, St Louis, MO 63367",MO,63367,(636) 625-5200,SSM Virtual Screening: https://bit.ly/2IZayw5
Mercy Hospital,"13049 Business 21, Hillsboro, MO 63050",MO,63050,(314) 251-0500,"Anyone seeking a test must call Mercy’s COVID-19 Clinical Support Line at 314-251-0500 before arriving. Digital Screening is available at their website. A nurse will then call back to schedule an appointment for testing if they meet the criteria Patients seeking a COVID-19 test must first call Mercy’s clinical support line at 314-251-0500 to be screened, and if appropriate, they will be given a time to arrive at the test collection site nearest them. Mercy will collect a sample and send it to a designated lab, either the state health department or a private lab. Results may take a couple days or up to a week depending on the lab conducting the test. There is a cost associated with the testing; most insurance companies along with Medicare and Medicaid have committed to covering the cost. No one will be turned away from the testing site due to cost. The Hillsboro site will be located at the Hillsboro Community Civic Club Jefferson County Fairgrounds at 10349 Business 21, Hillsboro, MO, 63050. An opening date for this site is to be determined. Mercy Test Collection Sites are exclusively for patients who meet the Centers for Disease Control and state health department guidelines for testing. To qualify for testing at the drive-through site, patients must have a fever of at least 100.4 degrees and respiratory symptoms including cough or shortness of breath, and either recent travel to a high-risk area or contact with a confirmed COVID-19 patient. Anyone seeking a test must call Mercy’s COVID-19 Clinical Support Line at 314-251-0500 before arriving."
Mercy Hospital - Chesterfield,"15740 S. Outer Forty Road, Chesterfield, MO 63017",MO,63017,(314) 251-0500,"Anyone seeking a test must call Mercy’s COVID-19 Clinical Support Line at 314-251-0500 before arriving. Digital Screening is available at their website. A nurse will then call back to schedule an appointment for testing if they meet the criteria Not everyone should be tested. Since the levels of infection are low in Mercy areas, for now this should only be done at the direction of a health care provider. Mercy is working to set up testing sites at Mercy facilities and elsewhere. If you have symptoms but they are only mild, stay home and contact your health care provider by phone or via MyMercy for guidance."
Mercy Hospital - St. Louis,"13045 Tesson Ferry Rd, St. Louis, MO 63128",MO,63128,(314) 251-0500,"Anyone seeking a test must call Mercy’s COVID-19 Clinical Support Line at 314-251-0500 before arriving. Digital Screening is available at their website. A nurse will then call back to schedule an appointment for testing if they meet the criteria. The South St. Louis County site will be located in the parking lot of the MetLife building at 13045 Tesson Ferry Rd., St. Louis, MO, 63128. It is scheduled to open on Wednesday, March 25. Mercy Test Collection Sites are exclusively for patients who meet the Centers for Disease Control and state health department guidelines for testing. To qualify for testing at the drive-through site, patients must have a fever of at least 100.4 degrees and respiratory symptoms including cough or shortness of breath, and either recent travel to a high-risk area or contact with a confirmed COVID-19 patient. Anyone seeking a test must call Mercy’s COVID-19 Clinical Support Line at 314-251-0500 before arriving. Patients seeking a COVID-19 test must first call Mercy’s clinical support line at 314-251-0500 to be screened, and if appropriate, they will be given a time to arrive at the test collection site nearest them. Mercy will collect a sample and send it to a designated lab, either the state health department or a private lab. Results may take a couple days or up to a week depending on the lab conducting the test. There is a cost associated with the testing; most insurance companies along with Medicare and Medicaid have committed to covering the cost. No one will be turned away from the testing site due to cost."
Mercy Hospital - Washington,"6 Fairgrounds Rd, Washington, MO 63090",MO,63090,(314) 251-0500,"Anyone seeking a test must call Mercy’s COVID-19 Clinical Support Line at 314-251-0500 before arriving. Digital Screening is available at their website. A nurse will then call back to schedule an appointment for testing if they meet the criteria Patients seeking a COVID-19 test must first call Mercy’s clinical support line at 314-251-0500 to be screened, and if appropriate, they will be given a time to arrive at the test collection site nearest them. Mercy will collect a sample and send it to a designated lab, either the state health department or a private lab. Results may take a couple days or up to a week depending on the lab conducting the test. There is a cost associated with the testing; most insurance companies along with Medicare and Medicaid have committed to covering the cost. No one will be turned away from the testing site due to cost. The Washington test site will be located on the Washington Fairgrounds, 6 Fairgrounds Rd. Washington, MO, 63090. The site will be near the Mercy First Aid Building and the Motorsports Arena. It is scheduled to open on Monday, March 23. Mercy Test Collection Sites are exclusively for patients who meet the Centers for Disease Control and state health department guidelines for testing. To qualify for testing at the drive-through site, patients must have a fever of at least 100.4 degrees and respiratory symptoms including cough or shortness of breath, and either recent travel to a high-risk area or contact with a confirmed COVID-19 patient. Anyone seeking a test must call Mercy’s COVID-19 Clinical Support Line at 314-251-0500 before arriving."
Missouri Highlands Health Care,"110 South 2nd Street, Ellington, MO 63638",MO,63638,(573) 727-8285,Please call before visiting the hospital or testing location to determine testing eligibility.
MU Health Care,"1 Hospital Drive, Columbia, MO 65212",MO,65212,(573) 882-4141,"Anyone who is experiencing symptoms, such as fever, cough or difficulty breathing, and has traveled recently to an area where COVID-19 is active or thinks they may have been exposed to the virus should call their primary care provider or download the MU Health Care Video Visits app to connect virtually with a board-certified provider. The app can be downloaded on the Apple App Store or Google Play Store, or can be accessed by visiting https://muhealthvideovisits.org/landing.htm. Once you speak to a PCP, they will then set up an appointment for testing to the closest testing facility (did not disclose which facilities)"
Ozark Valley Medical Clinic,N/A,N/A,N/A,Report an error,"Please call before visiting the hospital or testing location to determine testing eligibility. Exam is $169, Pantient must be showing COVID-19 symptoms."
Pershing Memorial Hospital,"130 E Lockling Ave, Brookfield, MO 64628",MO,64628,(660) 258-2222,Patient must be admitted to hospital or be currently in a nursing home or similar living situation.
Providence Urgent Care,"403 N Stadium Blvd #104, Columbia, MO 65203",MO,65203,(573) 874-6824,Please call before visiting the hospital or testing location to determine testing eligibility. Painti
Saint Francis Healthcare,"410 Kiwanis Dr, Cape Girardeau, MO 63701",MO,63701,(573) 331-4200,"The testing is by appointment only; a pre-screening is required. Anyone seeking a test must first call the Coronavirus Community Nurse Hotline at 573-331-4200. The Hotline is staffed from 7 am to 5 pm, seven days a week. Nurses provide screening for anyone that thinks they have been exposed to COVID-19. If a patient meets the strict DHSS and CDC screening criteria, the patient will be directed to the Coronavirus Test Collection Center. The Coronavirus Test Collection Center will be open Monday through Friday from 8 am to 6 pm and Saturday from 9 am to noon."
Saint Francis Medical Center,"48 Doctors Park, Cape Girardeau, MO 63703",MO,63703,(573) 331-4200,"The testing is by appointment only; a pre-screening is required. Anyone seeking a test must first call the Coronavirus Community Nurse Hotline at 573-331-4200. The Hotline is staffed from 7 am to 5 pm, seven days a week. Nurses provide screening for anyone that thinks they have been exposed to COVID-19. If a patient meets the strict DHSS and CDC screening criteria, the patient will be directed to the Coronavirus Test Collection Center."
Saint Luke's Hospital of Kansas City,"4401 Wornall Rd, Kansas City, MO 64111",MO,64111,(816) 932-2000,"Before you go to a testing center, it’s very important that you call the facility ahead of time even if there are long hold times on the phone. They’ll help you understand the requirements specific to visiting their facility, and they’ll give you guidance on how to protect yourself and others from exposure to COVID-19 and other viruses like the flu. Most testing sites require a referral from a provider."
Southeast Hospital,"1701 Lacey St, Cape Girardeau, MO 63701",MO,63701,(573) 519-4983,Please call before visiting the hospital or testing location to determine testing eligibility.
SSM Health St. Joseph Hospital - St. Charles,"300 First Capitol Drive, St. Charles, MO 63301",MO,63301,(636) 947-5000,"To be tested, patients must first complete a freevirtual exam- https://ssmhealth.zipnosis.com/?_ga=2.172899755.909171369.1587051289-130076278.1587051289 Depending on evalution your appointment will be scheduled."
SSM Health St. Mary's - Audrain Hospital,"620 E. Monroe St., Mexico, MO 65265",MO,65265,(573) 582-5000,"All persons interested in testing must co online and complete a FREE vitual exam at https://ssmhealth.zipnosis.com/?_ga=2.172899755.909171369.1587051289-130076278.1587051289, if they meet the requirments an appoinment will be scheduled."
SSM St. Joseph Hospital - Lake St. Louis,"100 Medical Plaza, Lake St. Louis, MO 63367",MO,63367,(636) 625-5200,"all persons interested in testing must go online and complete a FREE vitual exam at https://ssmhealth.zipnosis.com/?_ga=2.172899755.909171369.1587051289-130076278.1587051289, if they meet the requirments an appoinment will be scheduled."
St. Lukes - Multispecialty Clinic - Blue Springs,"600 NE Adams Dairy Pkwy, Blue Springs, MO 64014",MO,64014,(573) 882-4141,"This drive-thru testing is by appointment only and requires a physician referral. Those without a referral or an appointment will not be tested. Saint Luke’s is offering appointment-only drive-thru testing to Saint Luke’s patients and employees who have been referred. Only patients or employees who meet the following criteria are eligible for this testing: Fever of 100 degrees or higher, a new cough (within the past 14 days), or shortness of breath, AND Are (a) immunocompromised, (b) have been exposed to someone with known or suspected COVID-19, OR (c) work in a health care setting. Current locations include Saint Luke’s Multispecialty Clinics in Blue Springs, Shoal Creek in the Northland, and Mission Farms in Overland Park."
St. Lukes - Multispecialty Clinic - Shoal Creek,"8880 NE 82nd Ter, Kansas City, MO 64158",MO,64158,(816) 714-2750,"This drive-thru testing is by appointment only and requires a physician referral. Those without a referral or an appointment will not be tested. Saint Luke’s is offering appointment-only drive-thru testing to Saint Luke’s patients and employees who have been referred. Only patients or employees who meet the following criteria are eligible for this testing: Fever of 100 degrees or higher, a new cough (within the past 14 days), or shortness of breath, AND Are (a) immunocompromised, (b) have been exposed to someone with known or suspected COVID-19, OR (c) work in a health care setting. Current locations include Saint Luke’s Multispecialty Clinics in Blue Springs, Shoal Creek in the Northland, and Mission Farms in Overland Park."
St. Lukes Hospital - Chesterfield,"101 St. Luke's Center Drive, Chesterfield, MO 63017",MO,63017,(314) 966-9107,"Patients must schedule an appointment before visiting the testing site. PCP scheduling line at 314-966-9107 between the hours of 8 a.m. to 5 p.m. Monday through Friday. They can also schedule an appointment online through InQuicker at stlukes-stl.com. The testing site is on the parking lot between the Mr. and Mrs. Theodore P. Desloge, Jr. Outpatient Center, Building B and St. Luke’s Resource Center which is directly west across Highway 141 from the hospital’s main campus. The health screening and evaluation will be performed while the patient remains in their vehicle."
St. Mary's Hospital,"2505 Mission Drive, Jefferson City, MO 65109",MO,65109,(573) 681-3000,"all persons interested in testing must co online and complete a FREE vitual exam at https://ssmhealth.zipnosis.com/?_ga=2.172899755.909171369.1587051289-130076278.1587051289, if they meet the requirments an appoinment will be scheduled."
Truman Medical Center Lakewood,"7900 Lees Summit Rd, Kansas City, MO 64139",MO,64139,(816) 404-7000,"Before you go to a testing center, it’s very important that you call the facility ahead of time even if there are long hold times on the phone. They’ll help you understand the requirements specific to visiting their facility, and they’ll give you guidance on how to protect yourself and others from exposure to COVID-19 and other viruses like the flu. Most testing sites require a referral from a provider."
University of Missouri- Softball stadium parking lot,"600 E Stadium Blvd, Columbia, MO 65211",MO,65211,(877) 435-8411,The University of Missouri is now offering drive-thru testing for COVID-19. The testing is open to anyone who has been screened and has a doctor’s order. MU softball stadium parking lot. Hours of operation: 7am to 7pm Average wait time: Unknown Special instructions: Pre-screening and doctor's order necessary.
Urgent Care of Kansas City,"4741 S Arrowhead Dr # B, Independence, MO 64055",MO,64055,(816) 795-6000,Please call before visiting the hospital or testing location to determine testing eligibility.
Brodstone Memorial Hospital,"520 E 10th St, Superior, NE 68978",NE,68978,(402) 879-3281,"If you have recently traveled to a known infected area outside of the United States, traveled to any state outside of Nebraska or Kansas, or had exposure to someone who has COVID-19, and/or are now experiencing any of the following symptoms alone or in combination: fever greater than or equal to 100.4 degrees, cough, shortness of breath and/or sore throat please CALL 402-879-3281 to notify us of your symptoms and possible exposure PRIOR to arriving at our facility. Please do not walk into the facility without receiving prior instructions from medical staff."
Bryan Health Urgent Care,"7501 S. 27th St, Lincoln, NE 68512",NE,68512,(402) 481-6343,"Here are three ways Bryan Health can help you: 1) Take a free, short online questionnaire to determine if you should seek care. 2) Call the Bryan Health 24/7 COVID-19 Hotline: 402-481-0500 3) Bryan Health ezVisit is offering FREE ezVisits to anyone who has COVID-19 symptoms (fever, cough, shortness of breath) or anyone who has been in contact with an individual diagnosed with COVID-19. If you may be at risk for COVID-19, we will help you determine the most appropriate level of care and next steps to take. CODE: COVID19 (in the payment section) only if diagnosed with an upper respiratory health issue to waive the regular $39 fee. NOTE: The Bryan Health Drive-Thru Clinic is ONLY available by appointment with a doctor’s order."
CHI Health Creighton University Medical Center,"7500 Mercy Rd, Omaha, NE 68124",NE,68124,(402)398-6060,"If you feel sick with fever/chills, cough, sore throat, difficulty breathing, other flu-like symptoms or were in close contact with someone with COVID-19 in the 14 days before you began to feel sick, seek medical care. Before you go to a doctor’s office or emergency room, call ahead and tell them about your possible exposure, recent travel and your symptoms. Free screening service – take the questionnaire. Free virtual care. 24/7."
CHI Health Good Samaritan,"10 E 31st St, Kearney, NE 68847",NE,68847,(308) 865-7100,"If you feel sick with fever/chills, cough, sore throat, difficulty breathing, other flu-like symptoms or were in close contact with someone with COVID-19 in the 14 days before you began to feel sick, seek medical care. Before you go to a doctor’s office or emergency room, call ahead and tell them about your possible exposure, recent travel and your symptoms. Free screening service – take the questionnaire. Free virtual care. 24/7."
CHI Health Lakeside,"16901 Lakeside Hills Ct, Omaha, NE 68130",NE,68130,(402) 717-8000,"If you feel sick with fever/chills, cough, sore throat, difficulty breathing, other flu-like symptoms or were in close contact with someone with COVID-19 in the 14 days before you began to feel sick, seek medical care. Before you go to a doctor’s office or emergency room, call ahead and tell them about your possible exposure, recent travel and your symptoms. Free screening service – take the questionnaire. Free virtual care. 24/7."
CHI Health Midlands,"11111 S 84th St, Papillion, NE 68046",NE,68046,(402) 593-3000,"If you feel sick with fever/chills, cough, sore throat, difficulty breathing, other flu-like symptoms or were in close contact with someone with COVID-19 in the 14 days before you began to feel sick, seek medical care. Before you go to a doctor’s office or emergency room, call ahead and tell them about your possible exposure, recent travel and your symptoms. Free screening service – take the questionnaire. Free virtual care. 24/7."
CHI Health Plainview,"704 N 3rd St, Plainview, NE 68769",NE,68769,(402)582-4245,"If you feel sick with fever/chills, cough, sore throat, difficulty breathing, other flu-like symptoms or were in close contact with someone with COVID-19 in the 14 days before you began to feel sick, seek medical care. Before you go to a doctor’s office or emergency room, call ahead and tell them about your possible exposure, recent travel and your symptoms. Free screening service – take the questionnaire. Free virtual care. 24/7."
CHI Health Schuyler,"104 w 17th St, Schuyler, NE 68661",NE,68661,(402) 352-2441,"If you feel sick with fever/chills, cough, sore throat, difficulty breathing, other flu-like symptoms or were in close contact with someone with COVID-19 in the 14 days before you began to feel sick, seek medical care. Before you go to a doctor’s office or emergency room, call ahead and tell them about your possible exposure, recent travel and your symptoms. Free screening service – take the questionnaire. Free virtual care. 24/7."
CHI Health St Elizabeth,"555 S 70th St, Lincoln, NE 68510",NE,68510,(402) 219-8000,"If you feel sick with fever/chills, cough, sore throat, difficulty breathing, other flu-like symptoms or were in close contact with someone with COVID-19 in the 14 days before you began to feel sick, seek medical care. Before you go to a doctor’s office or emergency room, call ahead and tell them about your possible exposure, recent travel and your symptoms. Free screening service – take the questionnaire. Free virtual care. 24/7."
CHI Health St Francis,"2620 Faidley Ave, Grand Island, NE 68803",NE,68803,(308) 384-4600,"If you feel sick with fever/chills, cough, sore throat, difficulty breathing, other flu-like symptoms or were in close contact with someone with COVID-19 in the 14 days before you began to feel sick, seek medical care. Before you go to a doctor’s office or emergency room, call ahead and tell them about your possible exposure, recent travel and your symptoms. Free screening service – take the questionnaire. Free virtual care. 24/7."
CHI Health St Mary's,"1301 Grundman Blvd, Nebraska City, NE 68410",NE,68410,(402) 873-3321,"If you feel sick with fever/chills, cough, sore throat, difficulty breathing, other flu-like symptoms or were in close contact with someone with COVID-19 in the 14 days before you began to feel sick, seek medical care. Before you go to a doctor’s office or emergency room, call ahead and tell them about your possible exposure, recent travel and your symptoms. Free screening service – take the questionnaire. Free virtual care. 24/7."
Methodist Hospital,"8303 Dodge St, Omaha, NE 68118",NE,68118,(402) 354-4000,"Methodist Coronavirus (COVID-19) Hotline Have you been exposed to coronavirus and are currently experiencing any of the following? Fever of 100 degrees or higher Sore throat Cough Difficulty breathing If yes, please call the Methodist Coronavirus (COVID-19) Hotline at (402) 815-7425 (SICK). The Methodist Coronavirus (COVID-19) Hotline is staffed every day from 6 a.m. to 11 p.m. Operators can address questions about the disease, connect you to your county health department or discuss concerns about exposure. After your initial call you will have a second screening with a doctor or RN scheduled."
Nebraska Medicine Bellevue Medical Center,"2500 Bellevue Medical Center Dr, Bellevue, NE 68123",NE,68123,(402) 763-3000,"Please call 402.559.0041 prior to making a clinic appointment, visiting an Immediate Care Clinic or the emergency room. Our staff will provide a screening evaluation and recommend next steps. If you are younger than age 65, and otherwise healthy, at this time the best guidance is to stay home, get plenty of rest, drink fluids and take pain and fever medications like acetaminophen or ibuprofen. If you are not a Nebraska Medicine patient, you are encouraged to call your local primary care provider for guidance."
OneWorld Community Health Center,"4920 S 30th St, Omaha, NE 68107",NE,68107,(402) 734-4110,"Un-insured or under-insured individuals seeking medical assessment for COVID-19 should call ahead. See this website for information on locations, hours of operation and contact information."
Banner Churchill Community Hospital,"801 E Williams, Fallon, NV 89406",NV,89406,(775) 423-3151,"COVID-19 specimen collection may be available at Banner clinics, urgent cares and emergency rooms. This is based on test kit availability, and only those who meet CDC criteria will be tested. Please contact your PCP to determine if in-person evaluation or testing might be necessary. If you have scheduled an appointment at a Banner clinic and are experiencing symptoms of COVID-19, please call ahead to notify the clinic of your arrival. They will provide you with instructions to safely enter the building. If your PCP is unable to see you, or you do not have a PCP, we are here to help at our urgent care or emergency care locations. Please put on a mask immediately upon arrival to protect other patients, visitors and health care workers"
Battle Mountain General Hospital,"535 S Humboldt St, Battle Mountain, NV 89820",NV,89820,(775) 635-2550,Drive-thru testing available by appointment only
Boulder City Hospital,"901 Adams Blvd, Boulder City, NV 89005",NV,89005,(702) 293-4111,"If you are experiencing the symptoms of COVID-19 (e.g., fever ≥ 100 F, cough, shortness of breath), please call your Primary Care Provider for advice. We are asking that you do not come to the Emergency Room as a first choice unless you are severely ill. This location is referring covid19 inquiries to the state hotline (702) 759-1000"
Carson Tahoe Health – Carson Tahoe Regional Medical Center,"1600 Medical Pkwy., Carson City, NV 89703",NV,89703,(775) 283-4789,"Patients are being asked to call their primary healthcare provider first. Patients can call the hotline and will be screened based on CDC guidlines. The hospital does not currently have tests available, but they will triage based on the screen."
Dignity Health Urgent Care,"800 N Gibson Rd, Ste 101, Henderson, NV 89011",NV,89011,(702) 707-3743,N/A
Humboldt General Hospital - West Campus,"51 E. Haskell Street, Winnemucca, NV 89445",NV,89445,(775) 623-5222,"Humboldt General Hospital has opened the HGH West Campus at 51 E. Haskell Street as a designated primary location for the screening of patients who are experiencing respiratory illness, including influenza, streptococcal infections and RSV (Respiratory Syncytial Virus). Patients can expect to be greeted at the door to the West Campus by an HGH staff member who will confirm they are experiencing respiratory symptoms and provide them with a mask. If patients cannot immediately be taken to an examination room, they will be asked to wait in their vehicle."
